accountName,accountLead,robNumber,region,city,lat,lng,accountLink
CHUAC,Carlos Baneira MPS,#4040,Coast,A Coruña,43.343880,-8.387700,
CEMTRO,Emma Serrano Pallicer,#4040,Pistacho,Madrid,40.49407,-3.71748,
